"dist","p","n","alpha","is_covered","c_plus_raw","c_minus_raw","xi_hat"
"bivt",0.005,1000,"0.05",TRUE,0.00867628370476579,-0.0034556516198782,0.28461003585971
"bivt",0.005,1000,"0.1",TRUE,0.00682773169815312,-0.00312257855964072,0.28461003585971
"bivt",0.005,1000,"0.01",TRUE,0.012773615609316,-0.00392859270670435,0.28461003585971
"bivt",0.005,1000,"0.05",TRUE,0.0082451340777391,-0.00397302090311377,0.352501909473859
"bivt",0.005,1000,"0.1",TRUE,0.00719491139099154,-0.00363423304647618,0.352501909473859
"bivt",0.005,1000,"0.01",TRUE,0.010748196664145,-0.00446999460151513,0.352501909473859
"bivt",0.005,1000,"0.05",TRUE,0.00693650107954847,-0.00363627451886658,0.237738739063722
"bivt",0.005,1000,"0.1",TRUE,0.00597466522290031,-0.00331994732895913,0.237738739063722
"bivt",0.005,1000,"0.01",TRUE,0.00888305192932411,-0.00426470998215567,0.237738739063722
"bivt",0.005,1000,"0.05",TRUE,0.00543973476944821,-0.00354923565850027,0.320283268111036
"bivt",0.005,1000,"0.1",TRUE,0.00481277688424032,-0.00312156148639585,0.320283268111036
"bivt",0.005,1000,"0.01",TRUE,0.00681849463119619,-0.00408381769357284,0.320283268111036
"bivt",0.005,1000,"0.05",TRUE,0.00877416655546351,-0.00387728141500609,0.254779808189794
"bivt",0.005,1000,"0.1",TRUE,0.00747315963847686,-0.00350293642860097,0.254779808189794
"bivt",0.005,1000,"0.01",TRUE,0.0113193445893346,-0.0044437521873405,0.254779808189794
"bivt",0.005,1000,"0.05",TRUE,0.00864871025127078,-0.0036249049963165,0.272230963578438
"bivt",0.005,1000,"0.1",TRUE,0.00727429471560349,-0.0032827856282907,0.272230963578438
"bivt",0.005,1000,"0.01",TRUE,0.0135837056015752,-0.00423774454742278,0.272230963578438
"bivt",0.005,1000,"0.05",TRUE,0.00700309315588072,-0.00347207357956162,0.367641355644501
"bivt",0.005,1000,"0.1",TRUE,0.005828902311064,-0.0031586155739781,0.367641355644501
"bivt",0.005,1000,"0.01",TRUE,0.00898877446828286,-0.00410548960486619,0.367641355644501
"bivt",0.005,1000,"0.05",TRUE,0.00850040262229269,-0.00387439629223976,0.273791617019074
"bivt",0.005,1000,"0.1",TRUE,0.0072621718959903,-0.0035303960728305,0.273791617019074
"bivt",0.005,1000,"0.01",TRUE,0.0109231579027977,-0.00441298265176267,0.273791617019074
"bivt",0.005,1000,"0.05",TRUE,0.00719921277873757,-0.00363866684256639,0.355931139363514
"bivt",0.005,1000,"0.1",TRUE,0.00633516086737731,-0.00328164731596204,0.355931139363514
